rainfall_intensity_mmh,rainfall_24h_mm,rainfall_72h_mm,antecedent_precip_index,soil_moisture_vwc,pore_water_pressure_kpa,slope_deg,elevation_m,lithology_weakness,historical_density,distance_to_road_cut_m,distance_to_drainage_m,sensor_anomaly_score,risk_score,landslide_occurred
2.67,15.81,35.21,47.12,22.86,0.0,34.19,1069.0,3,0.66,48.0,266.4,11.12,31.9,0
2.89,12.2,33.64,67.43,25.3,0.0,32.88,1389.0,5,1.55,124.4,488.4,10.18,58.8,0
2.99,15.86,25.68,42.14,25.02,0.0,53.46,1300.8,1,4.78,241.9,59.7,0.15,63.8,1
2.56,23.36,60.6,53.26,41.01,2.89,24.82,738.2,4,0.66,199.5,122.3,7.96,41.8,0
5.56,28.36,67.59,56.13,39.98,5.24,35.62,1435.7,4,10.54,41.9,969.4,3.47,99.6,1
4.69,30.7,76.24,75.84,41.47,9.76,18.46,2244.3,4,0.16,5.7,78.5,22.78,88.1,1
4.98,27.58,49.5,71.5,45.17,7.45,38.81,356.9,3,0.17,61.8,174.0,14.25,79.4,1
9.19,44.86,80.89,102.45,31.63,0.0,24.6,1728.6,5,2.25,45.4,192.6,0.12,83.5,1
0.7,4.2,11.2,47.72,16.91,0.0,45.37,1611.9,2,2.49,55.7,30.1,15.56,38.8,0
6.71,30.73,58.5,82.49,29.89,0.0,33.53,2241.3,2,0.99,98.3,295.8,7.27,50.1,0
26.34,129.9,193.33,164.31,63.51,38.46,24.08,1655.2,3,0.61,3.7,95.9,9.89,98.1,1
6.61,35.79,80.2,97.42,38.14,0.6,18.13,1612.2,1,2.84,55.6,124.9,40.93,77.0,1
4.84,45.83,72.17,55.34,44.33,14.52,27.68,1916.6,3,5.63,98.1,185.3,5.63,93.8,1
5.2,23.42,58.92,85.14,32.95,0.0,38.03,862.4,2,8.27,67.7,95.1,11.46,95.2,1
13.68,57.21,131.5,108.31,54.82,23.54,39.58,1551.0,4,1.81,132.0,70.8,2.23,92.5,1
5.79,56.04,147.1,142.09,50.85,18.19,31.76,1390.8,3,2.43,24.7,142.3,0.05,96.4,1
6.64,40.73,101.78,74.57,43.72,9.37,43.87,1220.8,4,3.11,20.0,76.7,2.39,99.0,1
17.59,141.82,220.81,180.71,79.06,48.0,26.35,466.9,2,2.89,44.2,102.5,3.97,100.0,1
2.99,14.37,27.78,56.16,31.63,0.0,14.0,914.5,2,9.04,12.9,20.7,1.7,86.4,1
1.2,5.93,14.73,59.43,14.07,0.0,38.4,888.0,2,2.99,32.3,335.3,52.68,70.4,1
5.43,52.2,103.58,106.93,46.27,9.92,46.97,1820.9,2,1.96,10.9,95.5,4.8,100.0,1
13.3,58.07,160.35,126.45,71.42,29.53,47.04,2233.4,2,0.85,61.7,15.6,25.37,100.0,1
1.42,12.8,31.09,50.29,26.04,0.0,24.95,784.7,2,1.64,149.1,280.9,4.6,22.4,0
4.79,22.23,31.61,42.04,16.16,0.0,31.37,456.7,3,3.82,40.5,3.6,0.51,54.1,0
1.37,8.68,22.85,28.67,34.07,0.0,42.15,2399.9,2,0.66,0.4,164.6,13.79,68.0,1
3.36,24.76,38.16,40.99,35.09,2.23,30.67,1751.5,3,0.06,97.7,218.3,0.13,30.3,0
5.6,52.42,83.7,69.4,48.65,14.58,36.9,2161.6,1,0.71,141.3,38.2,0.13,79.2,0
3.37,31.04,75.38,78.69,30.64,0.0,29.91,602.1,4,5.8,59.6,25.3,1.09,93.7,1
3.57,18.53,48.38,77.23,42.62,4.05,26.74,1981.6,2,2.84,42.3,21.8,13.14,73.4,1
3.99,22.98,49.42,78.2,29.2,0.0,28.38,2008.0,3,0.37,81.0,901.8,4.11,40.2,0
0.11,1.13,2.04,8.79,17.52,0.0,44.12,618.1,3,0.02,12.8,253.2,3.22,25.7,0
2.66,26.79,50.67,41.53,29.97,0.0,36.12,638.9,4,1.99,123.9,67.5,1.09,59.9,1
3.67,39.74,74.71,64.59,46.6,14.54,46.81,920.4,3,1.56,158.6,73.6,30.59,93.5,1
29.28,141.84,263.44,187.71,88.0,48.0,40.42,755.3,3,0.16,146.3,188.3,30.13,100.0,1
14.5,72.11,125.47,90.83,58.02,24.99,49.65,2348.4,4,6.09,47.8,110.1,9.98,100.0,1
1.4,15.62,35.18,45.35,30.31,0.0,42.95,1062.2,3,1.73,222.0,57.0,2.95,46.8,0
15.49,88.4,235.2,184.33,85.28,48.0,42.45,1898.7,1,1.9,352.2,10.6,5.12,100.0,1
6.37,67.47,123.46,111.27,48.89,15.0,34.98,1990.6,3,3.46,42.3,275.7,5.14,100.0,1
12.41,53.13,88.28,86.83,55.59,23.49,58.0,1110.5,5,0.74,36.6,394.4,10.31,98.4,1
7.65,32.66,84.07,74.88,34.76,2.06,36.96,1733.4,3,1.47,146.1,41.5,3.12,68.6,1
6.22,31.31,76.35,86.42,43.85,8.5,19.23,526.4,3,1.55,147.8,11.8,2.5,66.2,1
3.5,14.73,39.81,68.07,33.41,0.0,38.28,1133.6,2,6.16,85.7,22.7,2.49,81.9,1
0.83,3.82,6.23,24.63,28.67,0.0,27.65,2331.4,4,0.25,308.2,96.3,6.38,12.6,0
3.41,15.44,24.73,24.92,35.25,0.0,44.64,653.9,2,2.56,19.0,64.0,0.32,63.8,0
4.23,23.92,51.61,51.88,33.63,0.0,42.17,1110.0,2,1.54,77.9,13.7,2.36,54.9,0
4.13,31.3,70.74,57.16,42.99,7.12,34.37,1960.1,3,3.36,4.3,109.2,0.03,94.6,1
6.56,56.08,116.2,101.56,63.13,30.75,28.45,1697.4,3,3.21,6.5,41.0,17.46,98.8,1
3.34,24.59,55.05,47.8,35.02,2.09,37.24,1626.2,5,0.02,6.6,12.5,7.2,82.0,1
0.39,2.1,3.47,28.08,14.57,0.0,30.55,2091.8,2,0.53,81.2,193.1,4.07,5.0,0
13.44,122.93,254.65,180.46,88.0,48.0,42.7,361.1,3,0.36,106.7,153.0,1.41,96.3,1
12.57,101.41,235.4,191.26,78.09,48.0,40.73,1919.4,2,1.11,0.4,315.2,1.56,98.7,1
10.11,63.34,127.04,88.82,57.8,23.68,58.0,2153.4,4,4.24,120.1,64.8,4.03,96.6,1
21.52,179.89,422.95,304.88,88.0,48.0,32.22,334.0,3,0.01,80.7,26.3,8.24,100.0,1
5.52,30.65,62.27,53.1,36.71,0.0,33.42,1473.8,3,1.21,30.4,80.4,34.99,74.4,1
29.65,125.15,233.66,156.92,75.7,45.34,34.68,1032.0,3,3.89,1.8,271.5,0.38,97.2,1
0.81,3.93,7.18,48.78,28.14,0.0,35.06,406.6,3,4.69,20.4,49.8,1.13,71.6,1
4.83,24.99,49.36,67.3,23.16,0.0,44.73,1177.3,3,1.93,110.1,53.0,6.81,65.7,1
2.04,11.4,16.32,20.06,15.3,0.0,33.65,1652.5,3,3.19,129.0,28.7,4.48,30.5,0
3.04,18.67,43.61,63.23,31.14,0.0,52.77,2229.9,3,0.7,125.0,775.1,10.26,57.8,1
1.1,9.83,25.39,49.03,28.62,0.0,40.95,1603.1,3,0.61,19.9,615.7,0.47,47.1,0
9.53,41.04,77.83,76.89,44.33,9.75,31.87,2099.2,4,0.09,290.6,193.2,27.28,85.0,1
7.6,62.2,91.08,83.07,45.11,10.66,29.7,555.3,3,1.26,63.5,43.5,14.01,91.9,1
3.13,32.79,91.21,104.2,56.1,17.05,44.85,742.1,5,1.1,175.3,261.9,0.43,98.0,1
3.46,16.69,29.52,35.22,28.66,0.0,36.24,2337.6,2,0.84,21.9,157.8,0.06,39.2,0
6.91,62.87,99.17,87.38,53.97,19.4,36.08,2163.5,2,0.22,76.3,249.2,40.12,98.4,1
6.49,45.3,86.87,76.28,49.05,16.5,30.91,794.0,3,0.47,88.5,354.4,12.74,88.0,1
1.66,19.57,47.63,70.66,25.58,0.0,35.48,1604.0,2,0.41,176.5,69.0,12.52,33.9,0
5.12,49.57,89.79,104.6,44.12,10.95,30.57,1061.5,3,5.19,116.6,441.0,4.17,93.3,1
1.36,12.46,27.46,61.09,40.43,0.0,47.57,1284.1,2,6.11,61.2,411.9,3.39,90.1,1
1.89,21.2,42.01,68.21,28.74,0.0,42.1,2107.8,4,0.01,39.8,142.6,18.81,65.9,1
17.44,91.03,142.44,141.99,55.84,26.48,34.51,1845.0,3,0.34,433.2,207.7,16.03,97.1,1
5.17,23.24,43.28,64.5,33.14,5.78,34.39,800.7,3,3.95,40.2,95.3,4.4,90.3,1
3.75,26.15,63.15,79.84,34.87,1.52,36.78,963.6,4,0.07,16.6,191.6,22.43,80.1,1
20.7,90.53,204.3,182.02,72.44,40.52,35.95,908.4,2,5.17,42.9,143.3,4.21,100.0,1
6.56,56.43,88.46,62.82,41.87,11.4,27.87,1939.4,4,0.86,47.5,70.2,39.94,94.3,1
0.7,5.19,8.46,39.03,30.96,0.0,19.84,1329.2,3,1.39,16.4,70.2,26.95,38.3,0
1.56,14.78,33.96,60.33,28.69,0.0,29.22,2296.5,2,2.6,147.8,189.8,8.1,36.6,0
0.3,1.59,4.04,48.93,13.16,0.0,34.91,2015.0,4,0.5,115.8,564.8,1.13,16.2,0
6.17,40.76,77.0,94.83,32.49,0.0,29.73,743.5,3,0.19,45.7,40.5,23.92,75.0,1
5.8,31.48,70.3,88.58,52.92,14.85,42.96,1950.5,3,2.99,595.4,89.7,0.51,89.0,1
3.13,14.94,24.48,63.47,25.51,0.0,34.05,1362.8,4,7.52,127.7,294.9,10.35,87.9,1
20.78,120.27,220.8,172.7,84.43,48.0,51.93,832.8,4,1.94,145.8,23.6,5.1,97.2,1
5.72,30.64,43.76,33.76,27.63,0.4,31.23,1063.0,4,3.14,97.8,926.0,41.09,81.0,1
3.67,15.36,38.03,30.22,32.57,0.0,37.2,2341.5,3,5.1,96.2,204.1,32.78,83.8,1
3.38,25.85,50.7,62.46,42.95,12.81,33.54,1316.3,4,0.47,2.4,435.0,8.98,91.2,1
7.14,50.62,128.72,108.25,52.13,18.41,39.74,1811.2,2,0.78,176.8,327.7,0.55,91.8,1
2.09,10.33,24.72,41.37,29.67,0.0,45.06,1301.9,4,0.44,289.9,270.2,10.45,37.1,0
4.02,21.87,56.0,59.42,27.25,0.0,41.17,1080.3,3,0.11,15.6,6.0,6.35,59.4,1
6.77,61.31,110.34,118.02,63.03,32.44,18.74,1972.5,3,2.37,190.5,93.9,12.44,99.5,1
3.8,26.41,43.82,49.65,33.88,0.0,40.25,2081.5,4,0.28,91.7,40.6,0.11,56.0,0
5.22,32.7,90.26,102.2,42.8,9.74,27.41,451.0,4,0.18,40.3,369.1,27.95,89.2,1
3.06,20.23,48.65,77.25,31.83,0.0,33.37,885.9,5,0.8,304.4,205.3,1.35,55.0,0
0.74,6.69,17.17,38.64,21.75,0.0,41.86,1366.5,3,0.11,2.1,20.4,0.0,44.3,0
4.36,18.39,26.09,42.07,24.55,0.0,26.48,964.6,2,0.36,38.4,80.2,8.66,22.1,0
7.15,34.1,64.66,81.28,23.42,0.0,45.83,1945.5,5,0.13,260.9,12.9,20.76,74.4,1
2.59,15.99,39.01,62.21,30.33,0.0,33.0,540.9,3,3.78,78.7,242.5,33.31,78.6,1
1.69,8.63,13.02,28.25,22.81,0.0,54.45,1975.4,4,2.72,109.6,97.5,19.63,70.9,1
15.21,65.41,143.53,102.91,63.12,26.83,36.58,1597.6,4,3.53,166.2,48.1,3.9,100.0,1
15.71,152.26,304.63,214.93,88.0,48.0,50.5,907.7,4,3.65,19.2,131.3,18.01,97.9,1
6.78,55.35,78.85,62.15,37.45,2.06,46.18,1023.4,4,5.2,29.1,7.7,9.33,100.0,1
14.03,81.46,140.96,109.89,59.42,31.71,30.81,684.1,4,0.37,791.1,53.5,11.23,95.8,1
3.68,17.03,30.64,36.7,18.91,0.0,24.94,830.4,2,4.14,32.5,34.7,41.82,74.1,1
10.2,118.34,184.21,153.44,72.44,46.52,36.97,1806.3,5,1.34,93.0,480.3,0.03,95.8,1
5.33,21.54,49.2,79.93,22.6,0.0,31.05,1089.4,2,0.33,42.6,85.2,0.02,29.7,0
16.71,106.23,184.78,155.96,78.46,48.0,49.43,1743.7,1,1.92,228.8,158.1,0.07,89.9,1
27.22,192.92,345.07,270.99,88.0,48.0,33.9,1379.6,3,0.71,391.7,125.8,2.66,93.9,1
6.72,51.77,137.58,129.71,52.96,27.08,33.45,605.1,4,0.09,18.3,193.8,0.94,97.7,1
15.6,142.27,292.22,227.7,88.0,48.0,24.13,1348.0,4,0.15,110.1,58.9,11.91,98.3,1
7.71,35.93,70.04,69.16,40.28,4.68,39.56,1888.6,3,0.99,200.3,23.2,48.86,87.5,1
4.92,20.3,48.99,51.46,27.66,0.0,26.02,925.1,4,3.15,207.8,15.3,7.08,57.5,0
4.66,31.01,82.91,96.98,31.08,6.47,39.76,1661.0,4,0.67,69.7,38.7,4.6,82.8,1
7.63,31.52,45.24,75.15,34.56,0.0,40.93,718.0,3,2.62,30.6,118.7,35.3,92.5,1
3.68,16.71,33.88,47.36,24.72,0.0,29.63,585.0,3,0.1,58.8,48.5,2.63,22.0,0
5.91,36.55,82.42,58.98,49.65,13.75,44.13,1056.5,3,0.9,166.9,102.4,8.28,84.2,1
27.74,142.55,263.14,211.71,88.0,48.0,33.66,1117.3,4,0.25,609.6,5.4,23.38,98.6,1
1.74,11.33,28.12,36.11,23.68,0.0,23.49,1898.1,5,3.59,97.0,177.8,0.72,47.7,0
9.73,55.63,153.53,105.24,73.78,38.54,49.13,1266.2,1,6.19,26.0,378.9,9.97,100.0,1
7.67,85.32,232.13,192.11,88.0,48.0,28.15,470.6,2,0.71,5.1,8.8,0.21,99.3,1
22.91,115.49,204.7,161.34,55.38,34.71,40.31,1631.4,1,8.1,345.2,44.3,1.79,97.6,1
10.46,117.51,201.75,166.97,73.57,41.79,39.62,1285.4,3,2.51,79.2,68.8,2.3,95.3,1
6.03,27.53,75.43,95.19,32.82,0.0,39.31,996.5,3,0.0,151.3,61.0,49.62,78.5,1
29.54,134.11,273.85,207.36,88.0,48.0,39.16,1984.7,3,1.2,129.5,7.4,23.88,99.7,1
7.26,60.35,102.09,94.0,47.72,9.15,27.75,624.2,4,3.23,265.8,20.3,6.43,97.2,1
2.56,18.99,45.38,47.58,34.83,0.0,50.38,2217.7,3,1.37,37.1,438.4,18.37,73.9,1
4.29,26.53,47.71,49.75,34.93,0.0,44.13,1001.5,2,1.44,69.9,223.7,6.92,53.9,0
8.1,44.66,79.23,92.35,48.65,18.45,40.04,1268.0,3,1.07,293.9,572.5,0.75,94.3,1
1.71,13.29,34.97,47.94,33.61,0.0,24.67,2251.4,1,0.9,105.7,104.5,5.39,18.1,0
6.63,36.67,59.67,51.15,40.16,9.51,27.68,1898.6,4,0.05,8.9,380.2,17.2,83.7,1
5.22,40.0,59.6,47.99,37.9,3.07,41.59,456.0,3,1.75,26.0,305.2,65.34,97.8,1
1.13,12.69,22.54,40.94,34.03,0.0,18.97,1514.4,3,2.62,32.5,374.2,11.46,48.3,0
2.62,32.59,73.32,73.58,38.63,1.55,38.88,951.8,3,2.81,609.7,7.2,5.85,83.2,1
5.78,59.43,93.44,95.14,44.42,10.29,24.68,1367.8,3,1.76,30.5,190.3,1.31,95.1,1
6.01,27.99,57.66,63.67,24.71,0.0,28.62,1860.2,3,0.75,244.5,150.5,2.91,33.5,0
3.54,14.53,33.11,32.98,35.61,0.0,24.01,1342.0,2,0.04,9.8,141.8,0.24,29.9,0
2.12,13.91,35.99,51.25,29.62,0.0,38.09,449.1,3,4.07,24.1,126.4,0.02,77.2,1
4.01,23.96,41.25,72.62,49.15,13.71,45.49,1413.0,2,1.01,246.7,286.1,48.96,93.3,1
10.13,96.54,245.62,171.83,86.34,48.0,38.96,350.7,3,1.65,275.0,619.9,43.95,94.6,1
2.57,14.8,25.6,52.68,27.7,0.0,39.89,1031.7,4,0.39,23.3,317.8,3.39,55.6,0
4.33,41.39,97.17,94.88,50.49,15.65,37.43,1303.9,3,0.28,31.3,367.8,0.23,92.1,1
3.62,19.7,39.46,64.34,24.44,0.0,41.8,1653.8,4,0.16,90.7,119.1,14.79,55.1,1
4.86,20.36,31.77,32.43,31.05,0.0,39.97,1363.0,2,2.89,6.5,211.2,14.45,79.4,1
8.93,78.8,189.11,170.29,73.16,37.28,14.0,619.1,1,1.87,348.7,96.7,1.82,99.5,1
12.57,59.84,102.02,99.26,46.74,16.86,43.7,2257.7,1,1.75,53.9,80.4,9.19,96.2,1
0.72,8.55,14.08,52.27,30.98,0.0,42.81,1665.6,2,4.53,80.6,406.2,2.44,63.5,1
4.03,28.0,53.26,50.71,29.49,0.0,32.92,965.6,3,0.31,13.3,424.1,8.95,59.0,1
0.24,2.46,5.7,41.98,23.24,0.0,19.22,2328.5,3,0.34,4.0,206.4,2.15,26.1,0
3.63,25.95,44.84,69.29,41.28,2.6,38.06,2153.4,4,0.38,75.7,327.5,3.17,67.8,1
4.84,44.21,73.26,70.51,36.27,6.69,38.78,601.3,4,0.99,15.6,80.4,15.63,95.0,1
1.08,7.51,10.62,29.18,21.19,0.0,32.26,1676.4,4,3.73,119.4,102.4,39.48,65.0,1
3.79,25.08,51.67,68.19,48.54,12.9,37.59,1476.1,3,3.84,189.9,309.7,0.0,88.2,1
2.64,20.13,40.26,35.37,34.12,1.86,45.11,704.9,2,1.61,3.9,91.4,0.42,74.2,1
18.21,95.03,164.16,144.81,62.93,32.59,56.38,790.3,3,1.93,113.7,7.3,0.23,100.0,1
43.47,184.05,271.49,183.4,88.0,48.0,37.25,1483.9,2,4.1,202.9,78.5,7.3,97.2,1
1.78,11.99,23.98,29.17,23.31,0.0,38.84,974.7,3,1.76,69.5,91.4,13.06,42.5,0
6.29,55.84,139.8,125.76,49.75,19.22,29.0,2053.1,4,0.47,385.4,30.2,54.52,99.1,1
3.69,29.3,70.37,55.16,47.94,8.63,31.74,505.3,3,2.2,14.1,75.9,15.24,90.1,1
5.85,25.97,67.65,92.7,32.32,0.0,34.84,2219.5,1,2.64,46.8,490.4,32.12,81.4,1
9.87,55.72,78.75,95.26,56.76,18.38,46.01,2065.2,5,1.82,31.4,352.0,8.29,98.2,1
13.96,88.73,244.27,191.96,85.46,48.0,42.96,1851.1,2,0.58,668.5,106.3,1.73,100.0,1
11.86,112.48,211.23,179.16,88.0,48.0,52.4,851.4,5,0.92,41.8,222.7,33.96,100.0,1
6.64,42.43,118.25,121.8,44.9,9.46,23.33,1801.4,4,1.14,58.9,29.6,7.15,96.1,1
3.14,24.68,43.28,44.81,38.27,0.0,24.75,1221.4,3,0.28,225.8,251.4,0.07,23.9,0
16.03,66.7,137.41,132.54,61.47,30.28,45.37,1630.9,1,1.08,319.0,116.3,1.52,100.0,1
4.04,17.53,33.22,35.36,34.33,3.58,48.32,956.4,5,0.32,333.2,230.8,15.96,68.9,1
2.91,30.84,58.53,61.65,42.2,8.46,36.28,2055.3,4,1.25,98.0,185.9,1.56,83.9,1
2.64,15.75,40.61,56.52,28.39,1.37,14.0,385.2,2,0.09,130.6,47.7,0.02,9.7,0
4.96,41.96,102.6,103.81,40.87,2.9,29.68,1752.1,3,5.34,51.5,324.0,2.4,94.1,1
3.01,20.09,56.04,42.78,35.39,0.0,38.85,2040.1,3,0.51,112.1,152.8,10.89,45.2,0
4.42,19.3,43.59,46.41,33.54,0.0,28.35,1657.5,2,1.13,43.3,276.0,27.42,48.2,0
15.62,92.07,188.62,154.99,69.98,39.66,37.57,703.2,1,0.06,164.5,17.8,35.03,95.7,1
1.53,11.19,17.08,32.18,26.45,0.0,52.14,898.5,2,0.39,44.0,172.0,20.41,46.0,0
3.58,31.0,86.64,96.19,46.24,7.7,48.12,1381.3,1,2.13,253.8,62.1,7.67,88.4,1
3.22,14.89,32.35,55.35,23.6,0.0,42.88,991.8,1,0.21,18.6,355.1,1.09,33.7,0
0.9,4.86,11.57,23.07,25.61,0.0,35.45,310.3,2,1.78,101.8,537.5,7.56,22.4,0
0.53,3.33,6.56,15.83,20.23,0.0,31.8,385.4,2,0.0,88.2,10.3,4.93,5.7,0
1.13,9.69,21.0,46.96,21.68,0.0,42.44,1912.3,2,1.13,36.7,231.9,20.23,39.1,0
9.77,71.38,194.12,151.45,79.08,43.01,36.22,475.8,5,2.3,3.4,19.6,23.16,99.5,1
3.55,14.59,23.83,28.09,22.01,0.0,36.51,2248.8,3,4.69,19.3,350.7,41.42,86.7,1
17.74,105.31,190.54,143.54,70.61,39.11,22.81,1229.7,3,1.22,412.9,23.9,2.32,94.2,1
5.91,39.91,64.37,60.47,38.45,2.51,29.93,1892.2,3,3.3,340.2,39.0,35.31,88.8,1
4.19,24.83,62.3,50.36,45.69,10.3,42.39,563.6,1,2.92,15.2,52.2,7.4,91.2,1
9.55,44.97,66.86,73.07,39.88,9.05,26.64,2245.7,4,0.63,56.4,234.2,0.75,81.0,1
3.91,28.35,42.94,67.27,35.19,4.45,38.26,371.0,3,3.74,75.1,62.3,0.9,87.4,1
6.07,54.96,99.91,95.84,46.19,14.91,39.51,388.5,3,1.84,78.0,163.2,18.45,97.4,1
3.05,16.99,36.01,65.59,29.61,0.0,40.0,414.6,5,0.2,42.6,152.7,19.54,68.0,1
2.97,15.37,30.26,30.41,28.18,0.0,40.76,517.2,4,5.04,293.0,92.6,8.21,80.3,1
18.34,91.17,133.36,111.29,59.1,29.11,41.34,1322.3,3,0.35,287.0,139.6,8.2,100.0,1
23.67,102.93,282.09,215.78,88.0,48.0,30.7,1955.4,5,1.14,2.3,22.6,5.39,96.2,1
13.19,92.18,252.02,199.24,88.0,48.0,23.52,898.4,4,1.13,126.0,376.0,31.22,95.8,1
3.01,32.41,58.06,74.05,34.02,2.46,28.57,1866.1,5,1.77,9.3,41.8,11.91,94.4,1
14.84,61.09,148.08,134.06,51.22,19.33,42.2,1925.5,1,1.97,109.2,382.0,8.13,96.0,1
4.74,30.8,68.06,78.55,55.51,20.14,25.79,2207.4,5,0.48,242.0,131.6,5.97,87.8,1
6.3,33.9,58.72,47.41,34.48,0.0,27.15,613.6,3,0.78,125.8,171.3,2.63,40.1,0
2.67,13.82,24.42,52.16,34.72,0.0,27.11,584.6,4,0.28,75.9,53.5,4.68,39.0,0
7.09,41.01,85.61,93.26,52.4,14.12,20.31,556.4,2,0.24,380.1,45.3,3.86,64.4,0
0.91,7.88,15.66,59.88,30.06,0.0,26.25,1054.6,2,3.14,164.7,121.5,0.8,35.1,0
3.11,14.91,26.95,53.72,26.36,0.0,44.5,1327.8,1,2.5,34.4,56.0,0.13,55.6,1
16.13,74.45,188.4,158.37,74.47,41.17,29.91,1269.4,3,1.05,58.7,99.0,2.72,100.0,1
2.85,16.37,33.94,50.23,21.86,0.0,21.13,839.8,2,0.18,171.2,104.4,2.72,11.6,0
2.59,15.9,36.84,68.0,42.26,5.49,31.65,1606.2,1,1.08,2.3,56.9,29.47,79.1,1
0.4,4.07,6.78,54.27,16.79,0.0,40.34,1010.4,5,0.63,7.9,62.1,2.89,57.9,1
10.49,111.27,238.89,195.33,85.36,48.0,20.44,1068.8,4,2.71,235.4,649.5,9.46,99.4,1
3.84,27.9,51.48,66.02,35.01,0.0,44.1,521.6,3,0.18,5.3,159.4,0.28,77.7,1
3.23,24.34,52.02,42.37,33.92,5.28,23.75,1543.7,4,1.08,136.2,320.9,11.59,52.1,0
15.26,63.04,157.16,139.86,60.06,30.92,32.64,1676.1,3,1.61,46.1,8.4,0.12,100.0,1
14.76,69.24,171.47,148.34,76.38,44.5,32.53,1891.7,2,7.65,209.8,0.3,16.87,99.6,1
3.15,16.39,31.07,60.1,34.4,0.0,31.23,2198.4,3,0.17,225.5,131.8,9.48,33.2,0
8.22,48.96,116.12,86.08,54.45,22.22,35.45,1908.6,4,0.22,367.8,315.6,3.26,93.9,1
6.9,63.63,172.95,146.83,66.03,32.23,42.62,795.1,2,7.97,12.1,169.9,0.18,97.1,1
10.8,43.83,99.77,83.16,54.32,22.42,35.65,794.9,3,0.94,66.0,173.6,2.07,96.2,1
1.89,13.11,21.08,52.92,23.12,0.0,30.85,2221.7,3,2.45,102.4,27.0,1.48,34.9,0
8.42,85.76,201.67,146.9,85.89,48.0,39.89,1959.3,3,2.75,297.3,691.7,1.53,100.0,1
6.18,37.7,58.32,73.69,37.0,3.8,37.76,1942.7,2,0.68,37.2,135.8,0.83,66.4,1
4.34,18.97,49.73,50.6,41.3,0.0,30.31,1811.4,4,0.43,8.9,19.5,2.97,68.7,1
5.37,23.25,49.36,37.49,33.14,0.0,36.36,861.1,3,0.58,27.0,96.3,1.18,44.0,0
1.2,14.61,28.34,51.92,28.36,0.0,29.61,2079.6,4,2.6,82.1,13.4,1.93,54.7,0
3.1,13.44,19.89,23.03,32.92,0.0,28.64,600.1,5,3.3,137.1,97.5,0.62,60.2,1
6.82,54.08,104.55,102.63,62.44,25.53,42.85,1035.0,4,2.16,140.8,223.8,1.85,97.8,1
0.35,4.04,10.76,53.64,32.37,0.0,39.8,1027.6,4,1.05,9.3,70.4,17.97,70.0,1
6.93,30.91,44.18,77.33,37.63,0.0,42.55,1476.3,2,0.55,172.0,67.6,2.89,55.6,0
6.02,26.53,54.78,51.22,38.87,7.4,41.4,1273.2,4,1.0,129.5,130.0,4.5,75.2,1
3.06,16.85,45.55,71.02,29.71,0.0,28.46,1265.6,3,4.43,62.8,124.2,4.09,67.9,0
22.82,128.47,250.88,183.98,88.0,48.0,44.51,1462.5,4,3.58,101.6,113.3,7.87,97.8,1
4.56,20.91,41.81,72.7,26.23,0.0,33.47,1172.4,4,0.7,175.2,130.9,4.8,49.5,0
3.98,18.62,41.14,67.18,33.77,2.16,43.9,825.0,3,0.72,36.5,8.8,10.38,68.0,1
4.64,20.06,41.09,35.04,34.15,0.0,34.94,1694.7,3,2.73,337.7,115.7,0.04,46.2,0
3.89,22.38,36.61,47.12,18.49,0.0,38.66,1960.3,2,1.0,17.8,869.3,26.49,55.4,1
1.53,6.25,8.91,25.97,22.73,0.0,38.92,1305.9,3,1.53,279.0,260.2,9.61,28.1,0
13.42,53.8,121.26,119.15,56.44,25.03,42.91,1663.9,3,0.99,162.0,61.0,8.49,100.0,1
11.97,119.97,322.61,233.16,88.0,48.0,22.11,1424.3,3,0.5,129.6,203.8,4.12,100.0,1
2.0,8.92,13.82,44.79,26.02,0.0,22.6,423.9,3,0.38,10.4,72.1,0.19,29.7,0
6.89,41.75,70.77,78.11,31.77,4.33,41.71,1188.5,4,0.27,301.6,38.3,0.44,69.4,1
8.4,57.61,110.52,120.74,46.29,15.22,39.03,320.7,3,0.02,42.0,267.3,0.02,94.6,1
12.5,67.85,171.82,158.88,74.32,41.71,29.41,1689.9,5,0.59,164.3,42.3,1.04,100.0,1
1.87,20.93,37.19,48.42,30.42,0.0,39.1,1367.1,4,0.34,259.3,352.1,1.93,41.4,0
3.12,18.79,49.52,69.75,35.91,1.31,24.03,566.3,5,0.54,33.6,86.2,2.98,58.7,0
5.36,23.49,34.69,64.88,26.43,0.0,58.0,1438.6,4,0.14,295.3,254.5,0.67,58.1,1
6.32,54.32,147.62,141.4,61.45,20.44,47.15,2186.7,3,0.75,113.6,54.1,6.43,99.5,1
9.47,62.07,135.63,96.23,44.17,15.03,41.29,1015.0,3,1.32,129.1,190.4,0.84,89.5,1
1.97,8.21,19.06,30.98,30.41,0.0,36.64,2363.0,4,5.21,295.1,43.0,2.7,69.0,1
4.64,30.33,58.07,57.16,47.11,9.83,30.74,2314.7,4,0.77,89.8,4.0,9.29,76.9,1
12.0,85.19,212.52,162.69,73.12,39.29,24.86,1949.2,4,0.06,69.7,303.3,15.83,95.4,1
10.89,70.32,114.85,87.27,46.52,21.22,35.03,2009.0,4,0.81,120.4,349.0,11.41,97.5,1
26.86,159.61,234.39,179.68,88.0,48.0,28.69,1162.1,4,3.06,96.9,382.5,0.09,95.4,1
